"","indic_is.ind_type.unit.geo.time","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"162","I_B3_12,CB_FOR,PC_IND,EU27","9 ","9 ","9 ","9 ","9 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"163","I_B3_12,CB_FOR,PC_IND,EU28","9 ","9 ","9 ","9 ","9 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"164","I_B3_12,CB_FOR,PC_IND,FI","12 ","19 ","13 ","20 ","18 ","15 ","12 ","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"165","I_B3_12,CB_FOR,PC_IND,FR","13 ","14 ","15 ","11 ","12 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"166","I_B3_12,CB_FOR,PC_IND,HR","5 ","9 ","3 ","5 ","10 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"167","I_B3_12,CB_FOR,PC_IND,HU","13 ","13 ","8 ","14 ","7 ","11 ","14 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"168","I_B3_12,CB_FOR,PC_IND,IE","10 ","23 ","9 ","8 ","11 ","12 ","10 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"169","I_B3_12,CB_FOR,PC_IND,IS","22 ",": ",": ","15 ","21 ","15 ","14 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"170","I_B3_12,CB_FOR,PC_IND,IT","7 ","7 ","7 ","4 ","3 ",": u","3 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"171","I_B3_12,CB_FOR,PC_IND,LT","9 ","3 ","6 ","4 ","5 ","1 ","2 ","2 ",": ",": ",": ",": ",": ",": ",": ",": "
"172","I_B3_12,CB_FOR,PC_IND,LU","11 ","10 ","13 ","11 ","10 ","10 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"173","I_B3_12,CB_FOR,PC_IND,LV","11 ","9 b","7 ","6 ","7 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"174","I_B3_12,CB_FOR,PC_IND,ME","7 u",": ",": ",": ",": ","1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"175","I_B3_12,CB_FOR,PC_IND,MK","5 u","5 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"176","I_B3_12,CB_FOR,PC_IND,MT","8 ","4 ","9 ","7 ","9 ","7 ","14 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"177","I_B3_12,CB_FOR,PC_IND,NL","11 ","8 ","12 ","10 ","11 ","14 ","13 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"178","I_B3_12,CB_FOR,PC_IND,NO","15 ","18 ","11 ","17 ","13 ","15 ","12 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"179","I_B3_12,CB_FOR,PC_IND,PL","7 u","14 u","9 u","7 ","4 ","7 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"180","I_B3_12,CB_FOR,PC_IND,PT","9 ","7 ","9 ","9 ","15 ","15 ","13 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"181","I_B3_12,CB_FOR,PC_IND,RO","1 u","8 ",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"182","I_B3_12,CB_FOR,PC_IND,RS","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"183","I_B3_12,CB_FOR,PC_IND,SE","12 ","11 b","11 ","9 ","13 ","15 ","12 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"184","I_B3_12,CB_FOR,PC_IND,SI","7 ","7 ","7 ","4 ","6 ","6 ","4 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"185","I_B3_12,CB_FOR,PC_IND,SK","13 u","18 u","10 u","10 u","18 u","21 u","22 u","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"186","I_B3_12,CB_FOR,PC_IND,UK","6 ","6 ","4 ","8 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"187","I_B3_12,CB_FOR,PC_IND_ILT12,AT","10 ","10 ","17 ","8 ","8 ","15 ","11 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"188","I_B3_12,CB_FOR,PC_IND_ILT12,BE","13 ","12 ","16 ","14 ","14 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"189","I_B3_12,CB_FOR,PC_IND_ILT12,BG","8 u","6 u","13 u","22 ","13 u","2 u","5 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"190","I_B3_12,CB_FOR,PC_IND_ILT12,CH","4 b",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"191","I_B3_12,CB_FOR,PC_IND_ILT12,CY","9 ","9 ","6 ","6 ","5 ","4 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"192","I_B3_12,CB_FOR,PC_IND_ILT12,CZ","27 ","16 ","24 ","16 ","23 ","18 ","18 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"193","I_B3_12,CB_FOR,PC_IND_ILT12,DE","10 ","13 ","12 ","12 ","11 ","11 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"194","I_B3_12,CB_FOR,PC_IND_ILT12,DK","16 ","11 ","11 ","12 ","12 ","11 ","13 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"195","I_B3_12,CB_FOR,PC_IND_ILT12,EA","12 ","13 ","13 ","11 ","11 ","13 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"196","I_B3_12,CB_FOR,PC_IND_ILT12,EE","12 ","8 ","9 ","10 b","6 ","6 ","5 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"197","I_B3_12,CB_FOR,PC_IND_ILT12,EL","3 ","11 ","12 ","9 ","4 ","10 ","7 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"198","I_B3_12,CB_FOR,PC_IND_ILT12,ES","12 ","11 ","12 ","11 ","10 ","12 ","8 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"199","I_B3_12,CB_FOR,PC_IND_ILT12,EU15","10 ","11 ","11 ","11 ","11 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"200","I_B3_12,CB_FOR,PC_IND_ILT12,EU27","11 ","11 ","11 ","11 ","11 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"201","I_B3_12,CB_FOR,PC_IND_ILT12,EU28","11 ","11 ","11 ","11 ","11 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"202","I_B3_12,CB_FOR,PC_IND_ILT12,FI","13 ","20 ","13 ","20 ","19 ","15 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"203","I_B3_12,CB_FOR,PC_IND_ILT12,FR","16 ","17 ","18 ","14 ","16 ","18 ","18 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"204","I_B3_12,CB_FOR,PC_IND_ILT12,HR","8 ","13 ","5 ","8 ","16 ","19 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"205","I_B3_12,CB_FOR,PC_IND_ILT12,HU","16 ","16 ","10 ","17 ","11 ","15 ","17 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"206","I_B3_12,CB_FOR,PC_IND_ILT12,IE","11 ","24 ","9 ","9 ","12 ","13 ","11 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"207","I_B3_12,CB_FOR,PC_IND_ILT12,IS","22 ",": ",": ","15 ","22 ","15 ","15 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"208","I_B3_12,CB_FOR,PC_IND_ILT12,IT","9 ","10 ","11 ","7 ","6 ",": u","6 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"209","I_B3_12,CB_FOR,PC_IND_ILT12,LT","13 ","5 ","11 ","7 ","9 ","2 ","4 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"210","I_B3_12,CB_FOR,PC_IND_ILT12,LU","11 ","11 ","14 ","12 ","11 ","11 ","13 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"211","I_B3_12,CB_FOR,PC_IND_ILT12,LV","16 ","13 b","10 ","9 ","12 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"212","I_B3_12,CB_FOR,PC_IND_ILT12,ME","9 u",": ",": ",": ",": ","1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"213","I_B3_12,CB_FOR,PC_IND_ILT12,MK","6 u","7 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"214","I_B3_12,CB_FOR,PC_IND_ILT12,MT","9 ","4 ","10 ","7 ","10 ","8 u","16 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"215","I_B3_12,CB_FOR,PC_IND_ILT12,NL","12 ","10 ","14 ","12 ","12 ","15 ","14 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"216","I_B3_12,CB_FOR,PC_IND_ILT12,NO","15 ","18 ","12 ","17 ","14 ","16 ","12 ","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"217","I_B3_12,CB_FOR,PC_IND_ILT12,PL","9 u","17 u",": u","11 ","6 ","17 u","11 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"218","I_B3_12,CB_FOR,PC_IND_ILT12,PT","10 ","8 ","10 ","12 ","17 ","17 ","15 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"219","I_B3_12,CB_FOR,PC_IND_ILT12,RO","2 u","10 u",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"220","I_B3_12,CB_FOR,PC_IND_ILT12,RS","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"221","I_B3_12,CB_FOR,PC_IND_ILT12,SE","12 ","12 b","13 ","11 ","13 ","17 ","12 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"222","I_B3_12,CB_FOR,PC_IND_ILT12,SI","10 ","10 ","11 ","7 ","9 ","10 ","8 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"223","I_B3_12,CB_FOR,PC_IND_ILT12,SK","16 u","24 u","13 u","15 u","28 u","26 u","26 u","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"224","I_B3_12,CB_FOR,PC_IND_ILT12,UK","6 ","6 ","5 ","8 ","10 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"225","I_B3_12,CB_NAT,PC_IND,AT","8 ","10 ","11 ","11 ","9 ","9 ","9 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"226","I_B3_12,CB_NAT,PC_IND,BE","11 ","11 ","13 ","14 ","12 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"227","I_B3_12,CB_NAT,PC_IND,BG","6 ","6 ","7 ","6 ","4 ","4 ","2 ","2 ",": ",": ",": ",": ",": ",": ",": ",": "
"228","I_B3_12,CB_NAT,PC_IND,CH","5 b",": ",": ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"229","I_B3_12,CB_NAT,PC_IND,CY","7 ","7 ","5 ","4 ","5 ","5 ","5 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"230","I_B3_12,CB_NAT,PC_IND,CZ","21 ","19 ","19 ","17 ","15 ","15 ","14 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"231","I_B3_12,CB_NAT,PC_IND,DE","9 ","10 ","9 ","9 ","9 ","9 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"232","I_B3_12,CB_NAT,PC_IND,DK","11 ","10 ","12 ","11 ","13 ","13 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"233","I_B3_12,CB_NAT,PC_IND,EA","10 ","11 ","11 ","10 ","10 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"234","I_B3_12,CB_NAT,PC_IND,EE","12 ","12 ","14 ","12 b","7 ","7 ","5 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"235","I_B3_12,CB_NAT,PC_IND,EL","6 ","8 ","8 ","6 ","8 ","5 ","5 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"236","I_B3_12,CB_NAT,PC_IND,ES","10 ","9 ","10 ","10 ","9 ","9 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"237","I_B3_12,CB_NAT,PC_IND,EU15","9 ","10 ","10 ","10 ","10 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"238","I_B3_12,CB_NAT,PC_IND,EU27","10 ","10 ","10 ","10 ","9 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"239","I_B3_12,CB_NAT,PC_IND,EU28","10 ","10 ","10 ","10 ","9 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"240","I_B3_12,CB_NAT,PC_IND,FI","13 ","20 ","20 ","15 ","17 ","18 ","16 ","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"241","I_B3_12,CB_NAT,PC_IND,FR","13 ","13 ","15 ","14 ","15 ","15 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"242","I_B3_12,CB_NAT,PC_IND,HR","8 ","8 ","5 ","6 ","7 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"243","I_B3_12,CB_NAT,PC_IND,HU","12 ","12 ","13 ","12 ","12 ","10 ","10 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"244","I_B3_12,CB_NAT,PC_IND,IE","8 ","17 ","7 ","7 ","9 ","10 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"245","I_B3_12,CB_NAT,PC_IND,IS","20 ",": ",": ","19 ","22 ","20 ","18 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"246","I_B3_12,CB_NAT,PC_IND,IT","10 ","9 ","8 ","7 ","6 ",": u","5 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"247","I_B3_12,CB_NAT,PC_IND,LT","9 ","9 ","10 ","8 ","7 ","6 ","5 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"248","I_B3_12,CB_NAT,PC_IND,LU","11 ","9 ","15 ","12 ","12 ","11 ","13 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"249","I_B3_12,CB_NAT,PC_IND,LV","13 ","14 b","11 ","10 ","11 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"250","I_B3_12,CB_NAT,PC_IND,ME","5 ",": ",": ",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"251","I_B3_12,CB_NAT,PC_IND,MK","5 ","4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"252","I_B3_12,CB_NAT,PC_IND,MT","9 ","8 ","7 ","6 ","7 ","7 ","10 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"253","I_B3_12,CB_NAT,PC_IND,NL","11 ","12 ","12 ","12 ","14 ","13 ","16 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"254","I_B3_12,CB_NAT,PC_IND,NO","15 ","16 ","15 ","17 ","17 ","14 ","16 ","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"255","I_B3_12,CB_NAT,PC_IND,PL","12 ","11 ","13 ","10 ","9 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"256","I_B3_12,CB_NAT,PC_IND,PT","9 ","8 ","8 ","9 ","9 ","8 ","7 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"257","I_B3_12,CB_NAT,PC_IND,RO","5 ","4 ","3 ","4 b","4 ","2 ","2 ","1 ",": ",": ",": ",": ",": ",": ",": ",": "
"258","I_B3_12,CB_NAT,PC_IND,RS","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"259","I_B3_12,CB_NAT,PC_IND,SE","14 ","13 b","16 ","14 ","16 ","16 ","18 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"260","I_B3_12,CB_NAT,PC_IND,SI","12 ","11 ","12 ","12 ","12 ","12 ","12 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"261","I_B3_12,CB_NAT,PC_IND,SK","12 ","15 ","15 ","17 ","15 ","15 ","14 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"262","I_B3_12,CB_NAT,PC_IND,UK","4 ","5 ","6 ","6 ","6 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"263","I_B3_12,CB_NAT,PC_IND_ILT12,AT","9 ","12 ","13 ","13 ","10 ","11 ","12 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"264","I_B3_12,CB_NAT,PC_IND_ILT12,BE","12 ","12 ","15 ","16 ","14 ","16 ","16 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"265","I_B3_12,CB_NAT,PC_IND_ILT12,BG","10 ","9 ","11 ","11 ","8 ","7 ","4 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"266","I_B3_12,CB_NAT,PC_IND_ILT12,CH","6 b",": ",": ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"267","I_B3_12,CB_NAT,PC_IND_ILT12,CY","9 ","9 ","7 ","5 ","8 ","8 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"268","I_B3_12,CB_NAT,PC_IND_ILT12,CZ","25 ","22 ","23 ","21 ","20 ","20 ","19 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"269","I_B3_12,CB_NAT,PC_IND_ILT12,DE","9 ","10 ","10 ","10 ","10 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"270","I_B3_12,CB_NAT,PC_IND_ILT12,DK","11 ","11 ","12 ","12 ","13 ","14 ","14 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"271","I_B3_12,CB_NAT,PC_IND_ILT12,EA","12 ","13 ","13 ","13 ","13 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"272","I_B3_12,CB_NAT,PC_IND_ILT12,EE","14 ","14 ","15 ","14 b","9 ","9 ","6 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"273","I_B3_12,CB_NAT,PC_IND_ILT12,EL","9 ","11 ","12 ","9 ","13 ","8 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"274","I_B3_12,CB_NAT,PC_IND_ILT12,ES","12 ","11 ","13 ","13 ","13 ","12 ","13 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"275","I_B3_12,CB_NAT,PC_IND_ILT12,EU15","10 ","11 ","12 ","12 ","12 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"276","I_B3_12,CB_NAT,PC_IND_ILT12,EU27","11 ","12 ","13 ","12 ","12 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"277","I_B3_12,CB_NAT,PC_IND_ILT12,EU28","11 ","12 ","13 ","12 ","12 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"278","I_B3_12,CB_NAT,PC_IND_ILT12,FI","14 ","21 ","22 ","17 ","18 ","20 ","18 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"279","I_B3_12,CB_NAT,PC_IND_ILT12,FR","14 ","15 ","17 ","16 ","17 ","18 ","16 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"280","I_B3_12,CB_NAT,PC_IND_ILT12,HR","12 ","10 ","7 ","9 ","10 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"281","I_B3_12,CB_NAT,PC_IND_ILT12,HU","15 ","15 ","17 ","16 ","16 ","15 ","14 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"282","I_B3_12,CB_NAT,PC_IND_ILT12,IE","10 ","21 ","9 ","9 ","11 ","13 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"283","I_B3_12,CB_NAT,PC_IND_ILT12,IS","20 ",": ",": ","19 ","22 ","20 ","19 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"284","I_B3_12,CB_NAT,PC_IND_ILT12,IT","13 ","13 ","12 ","12 ","10 ",": u","9 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"285","I_B3_12,CB_NAT,PC_IND_ILT12,LT","11 ","12 ","14 ","10 ","10 ","9 ","8 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"286","I_B3_12,CB_NAT,PC_IND_ILT12,LU","11 ","9 ","15 ","12 ","13 ","11 ","14 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"287","I_B3_12,CB_NAT,PC_IND_ILT12,LV","15 ","17 b","14 ","13 ","14 ","14 ","14 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"288","I_B3_12,CB_NAT,PC_IND_ILT12,ME","6 ",": ",": ",": ",": ","4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"289","I_B3_12,CB_NAT,PC_IND_ILT12,MK","7 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"290","I_B3_12,CB_NAT,PC_IND_ILT12,MT","11 ","10 ","9 ","8 ","11 ","9 ","14 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"291","I_B3_12,CB_NAT,PC_IND_ILT12,NL","11 ","12 ","12 ","13 ","14 ","14 ","17 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"292","I_B3_12,CB_NAT,PC_IND_ILT12,NO","15 ","17 ","16 ","18 ","18 ","15 ","17 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"293","I_B3_12,CB_NAT,PC_IND_ILT12,PL","15 ","15 ","18 ","14 ","14 ","15 ","15 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"294","I_B3_12,CB_NAT,PC_IND_ILT12,PT","12 ","11 ","12 ","14 ","15 ","14 ","13 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"295","I_B3_12,CB_NAT,PC_IND_ILT12,RO","7 ","6 ","5 ","7 b","7 ","5 ","5 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"296","I_B3_12,CB_NAT,PC_IND_ILT12,RS","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"297","I_B3_12,CB_NAT,PC_IND_ILT12,SE","15 ","14 b","17 ","15 ","17 ","17 ","19 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"298","I_B3_12,CB_NAT,PC_IND_ILT12,SI","14 ","15 ","15 ","16 ","16 ","17 ","16 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"299","I_B3_12,CB_NAT,PC_IND_ILT12,SK","15 ","19 ","19 ","21 ","18 ","19 ","18 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"300","I_B3_12,CB_NAT,PC_IND_ILT12,UK","4 ","5 ","6 ","7 ","7 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"301","I_B3_12,CC_EU_FOR,PC_IND,AT","7 ","6 ","12 ","11 ","9 ","8 ","13 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"302","I_B3_12,CC_EU_FOR,PC_IND,BE","13 ","8 ","13 ","12 ","11 ","10 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"303","I_B3_12,CC_EU_FOR,PC_IND,BG",": u",": u",": u",": u",": u",": u","5 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"304","I_B3_12,CC_EU_FOR,PC_IND,CH","4 b",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"305","I_B3_12,CC_EU_FOR,PC_IND,CY","9 ","9 ","5 ","5 ","3 ","4 ","6 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"306","I_B3_12,CC_EU_FOR,PC_IND,CZ","27 ","19 ","15 u","10 u","27 u","12 u","6 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"307","I_B3_12,CC_EU_FOR,PC_IND,DE","10 ","11 ","10 ","6 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"308","I_B3_12,CC_EU_FOR,PC_IND,DK","11 ","7 ","9 ","10 ","9 ","16 ",": ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"309","I_B3_12,CC_EU_FOR,PC_IND,EA","11 ","11 ","12 ","10 ","8 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"310","I_B3_12,CC_EU_FOR,PC_IND,EE","13 u",": u",": u",": bu",": u",": u","3 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"311","I_B3_12,CC_EU_FOR,PC_IND,EL","0 u","2 u","6 u","4 u","0 u","27 u","0 u","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"312","I_B3_12,CC_EU_FOR,PC_IND,ES","12 ","11 ","14 ","12 ","8 ","10 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"313","I_B3_12,CC_EU_FOR,PC_IND,EU15","10 ","10 ","11 ","9 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"314","I_B3_12,CC_EU_FOR,PC_IND,EU27","11 ","10 ","11 ","9 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"315","I_B3_12,CC_EU_FOR,PC_IND,EU28","11 ","10 ","11 ","9 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"316","I_B3_12,CC_EU_FOR,PC_IND,FI","6 u","16 u",": u",": u",": u",": u",": u","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"317","I_B3_12,CC_EU_FOR,PC_IND,FR","14 ","12 ","17 ","11 ","11 ","8 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"318","I_B3_12,CC_EU_FOR,PC_IND,HR",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"319","I_B3_12,CC_EU_FOR,PC_IND,HU",": u","11 u","1 u",": u",": u","0 u","20 u","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"320","I_B3_12,CC_EU_FOR,PC_IND,IE","10 ","25 ","9 ","10 ","10 ","12 ","12 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"321","I_B3_12,CC_EU_FOR,PC_IND,IS","19 u",": ",": ",": u",": u","11 ","13 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"322","I_B3_12,CC_EU_FOR,PC_IND,IT","8 ","8 ","8 ","6 ","3 ",": u","3 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"323","I_B3_12,CC_EU_FOR,PC_IND,LT",": u",": u",": u","1 ",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"324","I_B3_12,CC_EU_FOR,PC_IND,LU","11 ","10 ","14 ","12 ","11 ","11 ","12 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"325","I_B3_12,CC_EU_FOR,PC_IND,LV","9 u","15 bu",": u",": u",": u",": u","4 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"326","I_B3_12,CC_EU_FOR,PC_IND,MK",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"327","I_B3_12,CC_EU_FOR,PC_IND,MT",": u","0 u","15 u","8 u","10 u",": u","22 u","10 ",": ",": ",": ",": ",": ",": ",": ",": "
